id,genre,label,audio_path,image_path
reggae.00023,reggae,8,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\reggae\reggae.00023.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\reggae\reggae00023.png
country.00041,country,2,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\country\country.00041.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\country\country00041.png
classical.00081,classical,1,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\classical\classical.00081.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\classical\classical00081.png
classical.00003,classical,1,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\classical\classical.00003.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\classical\classical00003.png
hiphop.00056,hiphop,4,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\hiphop\hiphop.00056.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\hiphop\hiphop00056.png
rock.00097,rock,9,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\rock\rock.00097.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\rock\rock00097.png
disco.00013,disco,3,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\disco\disco.00013.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\disco\disco00013.png
disco.00071,disco,3,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\disco\disco.00071.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\disco\disco00071.png
rock.00098,rock,9,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\rock\rock.00098.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\rock\rock00098.png
pop.00046,pop,7,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\pop\pop.00046.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\pop\pop00046.png
jazz.00053,jazz,5,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\jazz\jazz.00053.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\jazz\jazz00053.png
pop.00049,pop,7,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\pop\pop.00049.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\pop\pop00049.png
hiphop.00032,hiphop,4,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\hiphop\hiphop.00032.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\hiphop\hiphop00032.png
metal.00015,metal,6,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\metal\metal.00015.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\metal\metal00015.png
jazz.00058,jazz,5,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\jazz\jazz.00058.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\jazz\jazz00058.png
reggae.00072,reggae,8,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\reggae\reggae.00072.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\reggae\reggae00072.png
classical.00091,classical,1,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\classical\classical.00091.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\classical\classical00091.png
reggae.00006,reggae,8,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\reggae\reggae.00006.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\reggae\reggae00006.png
metal.00098,metal,6,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\metal\metal.00098.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\metal\metal00098.png
disco.00076,disco,3,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\disco\disco.00076.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\disco\disco00076.png
pop.00092,pop,7,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\pop\pop.00092.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\pop\pop00092.png
jazz.00066,jazz,5,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\jazz\jazz.00066.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\jazz\jazz00066.png
hiphop.00053,hiphop,4,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\hiphop\hiphop.00053.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\hiphop\hiphop00053.png
country.00003,country,2,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\country\country.00003.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\country\country00003.png
metal.00063,metal,6,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\metal\metal.00063.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\metal\metal00063.png
hiphop.00092,hiphop,4,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\hiphop\hiphop.00092.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\hiphop\hiphop00092.png
blues.00055,blues,0,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\blues\blues.00055.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\blues\blues00055.png
rock.00004,rock,9,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\rock\rock.00004.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\rock\rock00004.png
blues.00042,blues,0,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\blues\blues.00042.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\blues\blues00042.png
jazz.00071,jazz,5,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\jazz\jazz.00071.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\jazz\jazz00071.png
disco.00061,disco,3,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\disco\disco.00061.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\disco\disco00061.png
jazz.00041,jazz,5,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\jazz\jazz.00041.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\jazz\jazz00041.png
pop.00065,pop,7,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\pop\pop.00065.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\pop\pop00065.png
jazz.00000,jazz,5,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\jazz\jazz.00000.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\jazz\jazz00000.png
metal.00099,metal,6,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\metal\metal.00099.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\metal\metal00099.png
pop.00053,pop,7,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\pop\pop.00053.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\pop\pop00053.png
classical.00023,classical,1,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\classical\classical.00023.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\classical\classical00023.png
metal.00093,metal,6,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\metal\metal.00093.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\metal\metal00093.png
jazz.00016,jazz,5,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\jazz\jazz.00016.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\jazz\jazz00016.png
country.00082,country,2,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\country\country.00082.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\country\country00082.png
disco.00098,disco,3,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\disco\disco.00098.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\disco\disco00098.png
blues.00007,blues,0,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\blues\blues.00007.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\blues\blues00007.png
pop.00055,pop,7,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\pop\pop.00055.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\pop\pop00055.png
country.00005,country,2,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\country\country.00005.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\country\country00005.png
disco.00052,disco,3,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\disco\disco.00052.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\disco\disco00052.png
rock.00096,rock,9,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\rock\rock.00096.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\rock\rock00096.png
pop.00043,pop,7,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\pop\pop.00043.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\pop\pop00043.png
reggae.00091,reggae,8,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\reggae\reggae.00091.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\reggae\reggae00091.png
metal.00094,metal,6,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\metal\metal.00094.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\metal\metal00094.png
metal.00091,metal,6,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\metal\metal.00091.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\metal\metal00091.png
metal.00092,metal,6,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\metal\metal.00092.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\metal\metal00092.png
country.00063,country,2,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\country\country.00063.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\country\country00063.png
hiphop.00063,hiphop,4,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\hiphop\hiphop.00063.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\hiphop\hiphop00063.png
disco.00031,disco,3,C:\VSCode Projects\MusicGenreDetector\data\raw\genres_original\disco\disco.00031.wav,C:\VSCode Projects\MusicGenreDetector\data\raw\images_original\disco\disco00031.png
